 Haemophilus ducreyi,B03.440.450.600.450.125
Ephedra,B01.650.940.800.575.400.344.222.500
 Far East,E02.190.488.585
 Molecular Dynamics Simulation,E05.599.595.500
Vitamins,D014815
 Arm Bones,A02.835.232.087.090
 Attention,F03.625.094
 Epithelial Cells,A05.810.453.324.359.372.650
 Identity Theft,I01.198.240.300.249
 Ledum,B01.650.940.800.575.100.343.324
 Cambodia,Z01.252.145.182
 Halogenation,G02.111.087.485
 Vertical Dimension,E06.276.459.733
 Posture,G11.427.695
 Epidural Abscess,C01.539.830.025.325
 Academic Medical Centers,N02.278.020
 Hospital Administrators,M01.526.070.490.490
 Multienzyme Complexes,D05.500.562
 Cetacea,B01.050.150.900.649.189
 Periodontitis,C07.465.714.533.324
 Relaxation Therapy,E02.190.525.875
 Mucous Membrane,C11.187.482
 Keratitis,C02.256.466.382.465
 Hypercapnia,C23.888.852.544
 Upper Extremity,C14.907.355.830.925.885
Electromyography,E02.190.525.123.500
 Buttocks,A01.378.610.100
 Protons,D01.248.497.300.459.700
 Rheumatic Diseases,C05.799
 Subarachnoid Hemorrhage,C10.228.140.300.535.450.650
 Prostatitis,C12.294.565.750
Religion and Psychology,F02.880
 Costa Rica,Z01.107.169.238
 Language,L01.453.245.945.800
 Nitrogenase,D08.811.682.647
 Journal Impact Factor,L01.178.682.099.325.500
 Proboscidea Mammal,B01.050.150.900.649.833
 Lynx,B01.050.150.900.649.147.354.500
Drug Industry,J01.576.655.750
 Uterus,C13.351.500.852.952
Human Body,I01.076.201.450.560
 Red Meat,G07.203.300.600.813
 Intuition,F02.463.188.675
 Callosities,C17.800.428.200
 Felis,B01.050.500.131.617.750.200
 Golf,I03.450.642.845.400
 tocilizumab,@211206
 Gold,E07.632.490.367
 Life Expectancy,E05.318.308.985.450
 Auscultation,E01.370.370.380.400
Lipid A,D09.698.718.450.500
 Valsartan,@231916
 Pit and Fissure Sealants,D25.339.773
 Venoms,D20.888.065.970
RNA Interference,G05.355.315.203.374.790
 Hydrocodone,D03.132.577.249.562.149.287
 Maternal Health,N02.421.143.620
 Comprehension,F02.463.188.357
 Barium Sulfate,D01.103.075
 Propofol,D02.455.426.559.389.657.773
 Treatment Outcome,E01.789.800
 Mitosis,D27.505.519.593
 Plant Extracts,D20.215.784.500
 Pruritus Ani,C06.405.469.860.101.752
 Prothrombin Time,E01.370.225.625.115.610
 Drug Carriers,D004337
 Surgical Tape,E07.858.690.800
 Panama,Z01.107.169.772.584
 Infant Equipment,E07.490
 Brain Death,C10.228.140.151
 Bacteremia,C01.252.100
 Nepal,Z01.252.245.674
 Sulindac,D02.455.426.559.847.486.875
 Automobile Driving,I03.125
 Polyuria,C12.777.934.616
 Gentian Violet,D02.092.146.400
 Carbazoles,D03.438.473.144
 DNA Replication,D08.811.277.040.025.159.186.900
Klebsiella,B03.440.450.425.425.580
Antimalarials,D000962
 Mucuna,B01.650.940.800.575.100.401.598
 Starch,D08.811.913.400.450.460.400.374
 Caloric Restriction,E02.642.249.200
 Vibrio cholerae O1,B03.440.450.900.859.225.151
 Diet,Y11.010
 Fruit,B01.650.940.800.575.100.093.615
 Carpal Tunnel Syndrome,C10.668.829.500.500.200
 Abdominal Fat,A10.165.114.830.500.750
 Osteolysis hereditary multicentric,@183646
 Voice Disorders,C08.360.940
 Personality Disorders,F03.675.725
 Plant Proteins,D12.776.256.920
 Amaris,@160998
 Dilatation,C06.405.748.300
 Fatigue,C10.597.404
 methylparaben,@141887
 Mononegavirales,C02.782.580
 Myocarditis,C14.280.238.625
Adhesives,D014014
 Brassica napus,B01.650.940.800.575.100.157.200.249
Arizona,B03.440.450.425.800.100
 Chancre,C01.252.400.840.744.161
 Gluconeogenesis,G02.111.087.160.500
 Clindamycin,D03.383.773.532.500.125
 Genomic Islands,G02.111.570.080.708.330.330
 Cerebral Hemorrhage,C10.228.140.163.100.168
 Osteophyte,C05.116.540.310.800
 Sf9 Cells,A11.251.210.891
 lanreotide,@192504
 Sweden,Z01.542.816.500
 Point Mutation,G05.365.590.675
 Rainforest,G16.500.275.157.437.500
 Folklore,I01.076.201.450.515
 Botrytis,B01.300.381.128
 Amniotic Fluid,C13.703.634.404
 Narcissism,F02.739.794.582
 coenzyme Q10,@127473
 Salivation,G07.203.650.593.220.800
 Sewage,D20.944.932.500
Plants,B01.650.940.800.575.100.350.038
 Oligopeptides,D12.644.456
 Pancreatitis,C06.689.750.860
 Lysol,@10020
 Wound Healing,G16.100.856.891
 Geese,B01.050.150.900.248.050.350
 Intelligence,F01.752.543.500
 European Union,I01.615.500.475
 Social Class,I01.880.853.996.755
 India,D25.720.099.750
 Sulfur,D08.811.682.667
 Brain,A08.186.211.730.885.390.500
 Cyanobacteria,B03.280
 Lung,E02.041.625.657
 Consultants,K01.752.566.479.119
 Learning,F01.145.875.730
 propylparaben,@50604
 Antimetabolites,D000964
 Human Engineering,F02.784.412
 Dental Facilities,N02.278.192
 Kidney,D12.776.157.530.450.625.750.500
Nurseries,N02.278.388.540
Motivation,F01.658
 Deception,F01.145.813.157
 Dietary Fats,D10.212.302.380
 Percussion,E01.370.600.610
 Ophthalmic Solutions,D009883
 Migraine without Aura,C10.228.140.546.399.750.450
 Problem Solving,F02.463.425.725
 gatorade,@33958
 Melissa,B01.650.940.800.575.100.583.520.231
 Andorra,Z01.542.049
 Oseltamivir,D02.065.064.525
 Salmonella Infections,C01.252.400.310.821.706
 Brunei,Z01.252.145.130
 Beekeeping,J01.040.207
Thrombocytopenia,C04.557.645.375.617
 Auditory Perception,E02.831.200
 Flour,G07.203.300.484
