#../projects/flu/res_0.txt
00000000|Male|C0086582|10012|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: men||MM;RC
00000000|Humans|C0086418|10012|CT|CT Text Lookup: men||MM;RC
00000000|*Tears|C0039409|9012|MH|RtM via: Tears body substance|TI|MM;RC|504^5^0;525^5^0;634^5^0;112^5^0
00000000|*Eyes|C0015392|4584|ET|Entry Term Replacement for "Eye";RtM via: Eye|TI|MM|90^4^0
00000000|*Fear|C0015726|207|MH|RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fear|TI|MM|560^4^0;589^6^0
00000000|*Dermatologic Agents|C0011625|165|MH|RtM via: other medicated shampoos in ATC|TI|MM|662^6^0
00000000|administration & dosage|C0001555|855|SH|Dosage Forms|TI|MM
00000000|instrumentation|C0021632|399|SH|Equipment and Supplies|TI|MM
#../projects/flu/res_1.txt
00000000|*Nose|C0028429|9503|MH|RtM via: Nose;RtM via: Entire nose;Forced Leaf Node Lookup:nose|TI|MM|91^4^0
00000000|*Telencephalon|C0039452|16293|MH|RtM via: Telencephalon|TI|MM|210^8^0
00000000|*Headache|C0018681|5949|MH|RtM via: Headache;Forced Non-Leaf Node Lookup:headaches|TI|MM;RC|287^8^0
00000000|*Memory|C0025260|1389|MH|RtM via: reminiscence|TI|MM|41^11^0
00000000|*Knowledge|C0376554|336|MH|RtM via: Knowledge|TI|MM|280^4^0
00000000|*Cerebrum|C0242202|16530|MH|RtM via: Cerebrum;RtM via: Cerebral hemisphere structure (body structure);RtM via: Entire cerebrum;Forced Non-Leaf Node Lookup:cerebrum|TI|MM|210^8^0
00000000|injuries|C1510467|135|SH|Wounds and Injuries|TI|MM
#../projects/flu/res_2.txt
00000000|*Hate|C0018616|2838|MH|RtM via: Hate;Forced Leaf Node Lookup:hate|TI|MM|259^4^0
00000000|*Sore Throat|C0242429|16491|ET|Entry Term Replacement for "Pharyngitis";RtM via: Pharyngitis;RtM via: Sore Throat|TI|MM;RC|94^11^0
00000000|*Pain|C0030193|6267|MH|RtM via: Pain;Forced Non-Leaf Node Lookup:pain|TI|MM;RC|0^4^0;22^4^0
00000000|*Hope|C0392347|3345|MH|RtM via: Hope (emotion)|TI|MM|207^9^0
#../projects/flu/res_3.txt
00000000|*Ginger|C1879327|74610|MH|RtM via: Zingiber officinale;RtM via: Ginger (dietary);Forced Leaf Node Lookup:gingers;checkForceMH Boosted|TI|MM|1273^6^0
00000000|*Vitamin C|C0003968|52287|ET|Entry Term Replacement for "Ascorbic Acid";RtM via: Ascorbic Acid;checkForceMH Boosted;Forced Non-Leaf Node Lookup:vitamin c|TI|MM|1384^9^0;1205^9^0;684^9^0
00000000|*Citrus|C0008865|39510|MH|RtM via: Fruit, Citrus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrus fruit|TI|MM|1258^13^0
00000000|*Pharynx|C0031354|37980|MH|RtM via: Pharyngeal structure;Forced Leaf Node Lookup:throat|TI|MM|942^6^0
00000000|*Water|C0043047|29280|MH|RtM via: Water;RtM via: Boiled water;checkForceMH Boosted|TI|MM|856^5^0;908^5^0;816^12^0
00000000|*Antibiotics|C0003232|29067|ET|Entry Term Replacement for "Anti-Bacterial Agents";RtM via: Antibiotics;checkForceMH Boosted|TI|MM|347^11^0;68^11^0
00000000|*Ceremonial Behavior|C0007825|27690|MH|RtM via: Ritual;Forced Leaf Node Lookup:rituals|TI|MM|2706^7^0
00000000|*Nose|C0028429|22632|MH|Forced Leaf Node Lookup:nose|TI|MM|761^4^0
00000000|*Sore Throat|C0242429|100440|ET|Entry Term Replacement for "Pharyngitis";RtM via: Pharyngitis;RtM via: Sore Throat|TI|MM;RC|740^11^0
00000000|*Food|C0016452|34818|MH|RtM via: Food;RtM via: Nutrients;RtM via: Juice|TI|MM|1439^4^0;1355^9^0;1479^5^0;1315^5^0;1237^7^0
00000000|*Sodium Chloride, Dietary|C0206136|34620|MH|RtM via: Sodium Chloride, Dietary|TI|MM|1301^4^0;799^4^0
00000000|*Histamine Antagonists|C0019590|34368|MH|RtM via: Antihistamines;Forced Non-Leaf Node Lookup:antihistamines|TI|MM|1010^13^0
00000000|*Minerals|C0026162|20754|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|1095^8^0
00000000|*Feeling|C1527305|9615|ET|Entry Term Replacement for "Emotions";RtM via: Feelings;RtM via: Emotions;Forced Non-Leaf Node Lookup:feelings|TI|MM;RC|535^7^0;1764^9^0;899^4^0
#../projects/flu/res_4.txt
00000000|*Crude Oil|C0031264|39151|ET|Entry Term Replacement for "Petroleum";RtM via: Petroleum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:crude oils|TI|MM;RC|2950^9^0;2565^9^0;2094^9^0;1955^9^0;410^9^0;518^9^0;92^19^0
00000000|Washington|C0043038|5260|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|3133^16^0
00000000|Alberta|C0001914|5248|MH|Forced Leaf Node Lookup:alberta|TI|MM|503^7^0;703^7^0;3180^7^0
00000000|*Follow-Up Studies|C0016441|5248|MH|Forced Leaf Node Lookup:follow up|TI|MM|3332^9^0
