#../projects/marine/res_1.txt
00000000|Male|C0086582|129927|CT|CT Text Lookup: he;CT Text Lookup: him;CT Text Lookup: men||MM
00000000|Humans|C0086418|129927|CT|CT Text Lookup: men||MM
00000000|*Ginger|C1879327|128927|MH|RtM via: Zingiber officinale;RtM via: Ginger (dietary);Forced Leaf Node Lookup:gingers;checkForceMH Boosted|TI|MM|2661^6^0
00000000|*Head Protective Devices|C0018678|90379|MH|RtM via: Helmets;Forced Leaf Node Lookup:helmets|TI|MM|11537^7^0
00000000|*Nose|C0028429|85963|MH|RtM via: Nose;RtM via: Entire nose;Forced Leaf Node Lookup:nose|TI|MM|875^4^0;2149^4^0
00000000|*Love|C0024028|82123|MH|RtM via: Love;Forced Leaf Node Lookup:love|TI|MM|9580^4^0
00000000|*Vitamin C|C0003968|79357|ET|Entry Term Replacement for "Ascorbic Acid";RtM via: Ascorbic Acid;checkForceMH Boosted;Forced Non-Leaf Node Lookup:vitamin c|TI|MM|2772^9^0;2593^9^0;2072^9^0
00000000|*Appetite|C0003618|78253|MH|RtM via: Desire for food;Forced Leaf Node Lookup:appetites|TI|MM|10434^8^0
00000000|*Bicycling|C0005377|76729|MH|RtM via: Bicycling (recreational activity);Forced Leaf Node Lookup:bicycle|TI|MM|11878^4^0;11717^6^0;11798^4^0;11686^4^0;11707^4^0;11560^4^0;11460^4^0;10904^4^0;10532^4^0;10336^4^0;10069^4^0;9858^4^0;9964^4^0;9765^6^0;9192^6^0;9004^4^0;8799^4^0;8648^4^0;8460^4^0;8538^7^0;10323^7^0
00000000|*Hate|C0018616|72559|MH|RtM via: Hate;Forced Leaf Node Lookup:hate|TI|MM|1371^4^0
00000000|*Pharynx|C0031354|71485|MH|RtM via: Pharyngeal structure;Forced Leaf Node Lookup:throat|TI|MM|2330^6^0
00000000|*Cold Temperature|C0009264|68752|MH|RtM via: Cold Temperature;Forced Leaf Node Lookup:cold|TI|MM|1197^4^0
00000000|*Antibiotics|C0003232|68635|ET|Entry Term Replacement for "Anti-Bacterial Agents";RtM via: Antibiotics;checkForceMH Boosted|TI|MM|1735^11^0;1456^11^0
00000000|*Citrus|C0008865|66949|MH|RtM via: Fruit, Citrus;checkForceMH Boosted;Forced Non-Leaf Node Lookup:citrus fruit|TI|MM|2646^13^0
00000000|*Beauty|C0004898|63877|MH|RtM via: Beauty;Forced Leaf Node Lookup:beauty|TI|MM|11937^6^0
00000000|*Theft|C0039751|61609|MH|RtM via: Theft;Forced Leaf Node Lookup:thefts|TI|MM|11781^5^0
00000000|*Crude Oil|C0031264|60982|ET|Entry Term Replacement for "Petroleum";RtM via: Petroleum;checkForceMH Boosted;Forced Non-Leaf Node Lookup:crude oils|TI|MM|7109^9^0;6724^9^0;6253^9^0;6114^9^0;4569^9^0;4677^9^0;4251^19^0
00000000|*Water|C0043047|59575|MH|RtM via: Water;RtM via: Boiled water;checkForceMH Boosted|TI|MM|2244^5^0;2296^5^0;2204^12^0
00000000|*Ceremonial Behavior|C0007825|54130|MH|RtM via: Ritual;Forced Leaf Node Lookup:rituals|TI|MM|4094^7^0
00000000|Washington|C0043038|47548|MH|RtM via: Washington state;Forced Leaf Node Lookup:washington|TI|MM|7292^16^0
00000000|Alberta|C0001914|47536|MH|Forced Leaf Node Lookup:alberta|TI|MM|4662^7^0;4862^7^0;7339^7^0
00000000|*Follow-Up Studies|C0016441|47536|MH|Forced Leaf Node Lookup:follow up|TI|MM|7491^9^0
00000000|*Feeling|C1527305|93801|ET|Entry Term Replacement for "Emotions";RtM via: Feelings;RtM via: Regret;RtM via: Emotions|TI|MM|1923^7^0;7353^11^0;3152^9^0;2287^4^0
00000000|*Pleasure|C0679105|73500|MH|RtM via: pleasurable emotion|TI|MM|11927^5^0
00000000|*Pain|C0030193|62532|MH|RtM via: Pain;RtM via: Sore skin;RtM via: Sore to touch;Forced Non-Leaf Node Lookup:pain|TI|MM|1112^4^0;1134^4^0;2158^4^0
00000000|*Food|C0016452|57537|MH|RtM via: Food;RtM via: Nutrients;RtM via: Juice;RtM via: Food Oil|TI|MM|2827^4^0;2743^9^0;2867^5^0;2703^5^0;2625^7^0;7464^3^0;7348^3^0;7268^4^0;6897^3^0;6584^3^0;5429^3^0;5499^3^0;4513^3^0;4336^3^0;4447^3^0
00000000|*Sore Throat|C0242429|53658|ET|Entry Term Replacement for "Pharyngitis";RtM via: Pharyngitis;RtM via: Sore Throat;Forced Non-Leaf Node Lookup:sore throats|TI|MM|2128^11^0;1206^11^0
00000000|*Headache|C0018681|38166|MH|RtM via: Headache;Forced Non-Leaf Node Lookup:headaches|TI|MM|1071^8^0
00000000|*Histamine Antagonists|C0019590|36828|MH|RtM via: Antihistamines;Forced Non-Leaf Node Lookup:antihistamines|TI|MM|2398^13^0
00000000|*Transportation|C0040756|36093|MH|RtM via: Commuting;RtM via: transportation industry;Forced Non-Leaf Node Lookup:transportation;Forced Non-Leaf Node Lookup:commuting|TI|MM|8525^9^0;10459^14^0
00000000|*Fear|C0015726|35715|MH|RtM via: Fear (Mental Process);Forced Non-Leaf Node Lookup:fear|TI|MM|560^4^0;589^6^0
00000000|*Cerebrum|C0242202|31143|MH|RtM via: Cerebrum;RtM via: Cerebral hemisphere structure (body structure);RtM via: Entire cerebrum;Forced Non-Leaf Node Lookup:cerebrum|TI|MM|994^8^0
00000000|*Oils|C0028908|27783|MH|RtM via: Oils;Forced Non-Leaf Node Lookup:oils|TI|MM|7464^3^0;7348^3^0;7268^4^0;6897^3^0;6584^3^0;5429^3^0;5499^3^0;4513^3^0;4336^3^0;4447^3^0
00000000|*Minerals|C0026162|22287|MH|RtM via: Minerals;Forced Non-Leaf Node Lookup:minerals|TI|MM|2483^8^0
00000000|*Survey|C0038951|16836|ET|Entry Term Replacement for "Surveys and Questionnaires";RtM via: Surveys;Forced Non-Leaf Node Lookup:surveys|TI|MM|10032^6^0
00000000|*Registry|C0034975|11832|ET|Entry Term Replacement for "Registries";RtM via: Registries;Forced Non-Leaf Node Lookup:registry|TI|MM|11803^8^0
00000000|*Life Style|C0023676|6627|MH|RtM via: Life Style;Forced Non-Leaf Node Lookup:lifestyles|TI|MM|9234^9^0
00000000|Climate|C0008946|1000|MH|Forced Non-Leaf Node Lookup:climates||MM|9849^7^0
00000000|North America|C0028405|636|MH|RtM via: North America|TI|MM|10124^13^0;9995^13^0
00000000|Victoria|C0042645|9|MH|RtM via: Victoria Austrailia|TI|MM|8625^8^0
00000000|instrumentation|C0021632|70620|SH|Equipment|TI|MM
#../projects/marine/res_10.txt
00000000|Child|C0008059|179748|CT|CT Text Lookup: child;CT Text Lookup: children||MM
00000000|Humans|C0086418|179748|CT|CT Text Lookup: child;CT Text Lookup: children;CT Text Lookup: patient;CT Text Lookup: patients||MM
00000000|Male|C0086582|179748|CT|CT Text Lookup: he;CT Text Lookup: him||MM
00000000|Animals|C0003062|179748|CT|Forced Animals Lookup:cow;Whale, Killer;CT Treecode Lookup: B01.050.150.900.649.189 (Whale, Killer);CT Text Lookup: animal;CT Text Lookup: animals;CT Text Lookup: cow;CT Text Lookup: dog;Forced Animals Lookup:cow;Whale, Killer;CT Treecode Lookup: B01.050.150.900.649.189 (Whale, Killer);Forced Animals Lookup:cow;CT Text Lookup: cow|TI|MM|1691^3^0
00000000|Cattle|C0007452|179748|CT|Forced Animals Lookup:cow;CT Text Lookup: cow|TI|MM|1691^3^0
00000000|Female|C0015780|179748|CT|Forced Animals Lookup:cow;CT Text Lookup: cow;CT Text Lookup: she;CT Text Lookup: sister|TI|MM|1691^3^0
00000000|Dogs|C0012984|179748|CT|RtM via: Canis familiaris;CT Text Lookup: dog|TI|MM|3230^3^0;1609^3^0
00000000|*Siblings|C0037047|178748|MH|RtM via: Sibling;RtM via: Sister;Forced Leaf Node Lookup:siblings;Forced Leaf Node Lookup:sisters|TI|MM|2932^8^0;3058^7^0
00000000|*Spouses|C0162409|154887|MH|RtM via: husband;RtM via: wife;Forced Leaf Node Lookup:husbands;Forced Leaf Node Lookup:wife|TI|MM|4419^8^0;2477^7^0;2257^7^0;2187^7^0;1974^7^0;1463^7^0;1907^4^0;1841^8^0
00000000|*Whale, Killer|C0995158|100871|MH|RtM via: Orcinus orca;Forced Leaf Node Lookup:killer whales;checkForceMH Boosted|TI|MM|10003^13^0
00000000|*Clergy|C0008935|99152|MH|RtM via: Ministers;Forced Leaf Node Lookup:ministers|TI|MM|13014^9^0;11897^8^0;11929^9^0
00000000|*Iron|C0302583|95951|MH|RtM via: Iron;Forced Leaf Node Lookup:iron;checkForceMH Boosted|TI|MM|2613^4^0
00000000|*Platinum|C0032207|95396|MH|RtM via: Platinum;Forced Leaf Node Lookup:platinum;checkForceMH Boosted|TI|MM|951^8^0
00000000|*Anti-Bacterial Agents|C0279516|94742|MH|RtM via: Antibiotics;Forced Leaf Node Lookup:antibiotic;checkForceMH Boosted|TI|MM|4339^11^0;1379^11^0;1055^11^0;921^10^0;641^11^0;72^11^0
00000000|*Manure|C0024765|92582|MH|RtM via: Manure;Forced Leaf Node Lookup:manure;checkForceMH Boosted|TI|MM|1695^6^0
00000000|*Housing|C0020056|89758|MH|RtM via: Housing;RtM via: residence;Forced Leaf Node Lookup:housing|TI|MM|6006^7^0;7307^11^0;6405^11^0
00000000|*Population Growth|C0032671|86056|MH|RtM via: Population Growth;Forced Leaf Node Lookup:population growth|TI|MM|7713^17^0
00000000|*Global Warming|C0206217|82147|MH|RtM via: Global Warming;Forced Leaf Node Lookup:global warming|TI|MM|12181^14^0
00000000|*Investments|C0021953|80332|MH|RtM via: Investments;Forced Leaf Node Lookup:investments|TI|MM|7961^11^0;6992^6^0
00000000|*Climate Change|C2718051|77083|MH|RtM via: Climate Change;Forced Lookup:climate change|TI|MM|11994^14^0;10397^14^0;10274^14^0;9706^14^0
00000000|*Federal Government|C0015737|73006|MH|RtM via: Federal Government;Forced Leaf Node Lookup:federal government|TI|MM|12780^18^0;10555^18^0;9659^18^0
00000000|*Mothers|C0026591|72904|MH|RtM via: Mother (person);Forced Leaf Node Lookup:mothers|TI|MM|2014^7^0
00000000|*Floors and Floorcoverings|C0016250|69025|MH|RtM via: Carpets;Forced Leaf Node Lookup:carpets|TI|MM|4377^6^0
00000000|*Lawyers|C0086530|68077|MH|RtM via: Lawyer (occupation);Forced Leaf Node Lookup:lawyers|TI|MM|13174^7^0;8927^7^0
00000000|*Smiling|C0037363|62731|MH|RtM via: Smiling;Forced Leaf Node Lookup:smilings|TI|MM|3889^7^0
00000000|*Health Resorts|C0018740|60595|MH|RtM via: Resorts;Forced Leaf Node Lookup:resorts|TI|MM|2353^6^0
00000000|*Leadership|C0023181|57880|MH|RtM via: Leadership;Forced Leaf Node Lookup:leadership|TI|MM|12831^10^0
00000000|*Cough|C0010200|54649|MH|RtM via: Coughing;Forced Leaf Node Lookup:coughs|TI|MM|107^5^0
00000000|*Smoke|C0037366|53446|MH|RtM via: Smoke;RtM via: Tobacco smoke;checkForceMH Boosted;Forced Non-Leaf Node Lookup:smokes|TI|MM|3757^5^0;3625^5^0;3459^5^0;377^5^0
00000000|*Rivers|C0337050|52867|MH|RtM via: Rivers;Forced Leaf Node Lookup:rivers|TI|MM|10128^5^0
00000000|*Valium|C0699187|52498|ET|Entry Term Replacement for "Diazepam";RtM via: Valium;checkForceMH Boosted|TI|MM|3915^6^0
00000000|*Petroleum Pollution|C0337182|51163|MH|RtM via: Petroleum Pollution;Forced Leaf Node Lookup:oil spills|TI|MM|10104^9^0
00000000|*Self-Control|C0684274|48640|MH|RtM via: Self-control as a personality trait;Forced New Lookup:self-control|TI|MM|2625^12^0
00000000|*Baseball|C0004795|47389|MH|RtM via: Softballs (device);Forced Leaf Node Lookup:softballs|TI|MM|2991^9^0
00000000|Paris|C0030561|44428|MH|RtM via: Paris, France;Forced Leaf Node Lookup:paris|TI|MM|12991^5^0;12144^5^0
00000000|*Goals|C0018017|44422|MH|Forced Leaf Node Lookup:goals|TI|MM|7887^5^0
00000000|*Pharynx|C0031354|44422|MH|Forced Leaf Node Lookup:throat|TI|MM|1313^6^0
00000000|Canada|C0006823|9|MH|RtM via: Canada;RtM via: canadian;Forced Non-Leaf Node Lookup:canadian|TI;Geo Lookup:canadians|MM|11539^6^0;9029^6^0;12858^9^0
